Barbecued Chicken; Red Peppers; Green Peppers; Tomatoes; Red Onions; Barbecue Sauce;Chicken; Artichoke; Spinach; Garlic; Jalapeno Peppers; Fontina Cheese; Gouda Cheese; Mushrooms; Asiago Cheese; Alfredo Sauce; Pesto Sauce; Corn; Cilantro; Chipotle Sauce; Pineapple; Thai Sweet Chilli Sauce;Bacon; Pepperoni; Italian Sausage; Chorizo Sausage;Pepperoni; Bacon;Sliced Ham; Mozzarella Cheese;Capocollo; Goat Cheese; Oregano;Tomatoes; Anchovies; Green Olives;Mozzarella Cheese;Kalamata Olives; Feta Cheese; Beef Chuck Roast;Brie Carre Cheese; Prosciutto; Caramelized Onions; Pears; Thyme;‘Nduja Salami; Pancetta; Friggitello Peppers;Calabrese Salami; Capocollo;Genoa Salami;Prosciutto di San Daniele; Arugula;Coarse Sicilian Salami; Luganega Sausage; Onions;Soppressata Salami; Artichokes; Peperoncini verdi;Spinach; Kalamata Olives; Provolone Cheese; Smoked Gouda Cheese; Romano Cheese; Blue Cheese;Ricotta Cheese; Gorgonzola Piccante Cheese; Parmigiano Reggiano Cheese;Eggplant; Zucchini; Sun-dried Tomatoes; Plum Tomatoes;Mushrooms
41.17;293.21;87.98;420.79;340.76;41.17;160.47;42.18;83.86;480.28;107.41;57.5;42.18;131.11;59.96;15.33;47.36;65.24;65.24;65.24;88.08;47.64;22.46;105.32;22.46;22.46;68.99;46.22;40.45;120.96;55.39;55.39;22.08;54.12;26.56;103.93;67.98;25.82;71.83;25.82;4.83;4.83;4.83;4.83;4.83;19.68;19.68;19.68;29.93;59.96;30.02;29.13;29.13;33.58;33.58;33.58;15.33;92.18;33.31;76.5;29.16;29.75;29.75;29.75;29.75;36.06;36.06;36.06;13.84;37.88;30.43;14.55;24.04
39.42;288.08;79.98;420.54;351.38;39.42;164.1;44.43;87.49;506.28;114.79;60.0;44.43;130.73;63.71;18.83;47.48;70.36;70.36;70.36;81.08;39.39;25.09;111.57;25.09;25.09;55.49;36.85;41.7;120.96;62.14;62.14;26.96;56.24;26.19;105.31;72.6;32.07;92.46;32.07;5.95;5.95;5.95;5.95;5.95;13.81;13.81;13.81;31.93;62.96;31.02;24.38;24.38;32.95;32.95;32.95;15.58;94.93;35.18;87.37;33.41;31.0;31.0;31.0;31.0;39.31;39.31;39.31;13.21;35.13;32.68;19.55;21.91
46.55;283.71;93.23;414.54;346.51;46.55;146.85;37.43;82.86;467.91;98.16;53.75;37.43;123.11;60.09;18.33;47.48;60.74;60.74;60.74;78.08;38.89;24.71;105.32;24.71;24.71;54.99;35.85;39.2;110.46;59.02;59.02;23.46;49.12;22.69;100.93;62.35;21.07;72.33;21.07;5.58;5.58;5.58;5.58;5.58;19.68;19.68;19.68;37.81;62.46;24.65;23.0;23.0;28.33;28.33;28.33;16.33;100.06;35.56;83.5;34.91;23.5;23.5;23.5;23.5;31.93;31.93;31.93;14.46;42.0;32.93;17.8;27.54
44.3;297.46;92.11;451.29;361.51;44.3;155.1;38.05;83.74;509.53;105.54;51.38;38.05;126.23;56.59;15.83;48.11;67.49;67.49;67.49;90.58;46.01;22.84;104.32;22.84;22.84;59.12;39.1;44.57;112.83;66.27;66.27;26.33;51.62;21.44;111.31;69.85;29.07;83.33;29.07;8.58;8.58;8.58;8.58;8.58;21.81;21.81;21.81;38.43;64.71;26.27;22.75;22.75;38.95;38.95;38.95;13.33;100.93;39.93;86.25;30.79;29.13;29.13;29.13;29.13;32.18;32.18;32.18;12.71;40.5;33.8;16.3;27.79
47.3;330.21;97.73;477.54;387.38;47.3;173.97;51.43;96.36;575.03;130.41;69.0;51.43;138.23;57.46;14.46;60.23;78.99;78.99;78.99;97.33;49.26;29.21;111.07;29.21;29.21;68.62;43.85;48.07;143.08;68.64;68.64;31.21;71.12;31.69;122.81;69.23;33.69;92.96;33.69;7.08;7.08;7.08;7.08;7.08;19.06;19.06;19.06;34.43;63.96;29.52;30.0;30.0;42.2;42.2;42.2;17.58;113.56;37.43;93.5;35.16;30.38;30.38;30.38;30.38;47.43;47.43;47.43;20.21;45.88;42.43;21.68;25.66
42.05;299.21;95.61;436.16;365.51;42.05;158.35;40.93;92.61;520.41;104.79;57.25;40.93;132.36;57.34;17.21;50.48;63.86;63.86;63.86;92.21;46.89;20.96;106.82;20.96;20.96;61.87;39.1;45.32;134.83;60.89;60.89;23.21;56.99;25.56;107.31;70.48;33.32;85.96;33.32;4.83;4.83;4.83;4.83;4.83;17.43;17.43;17.43;39.31;63.71;24.4;25.38;25.38;30.95;30.95;30.95;16.33;98.68;37.68;82.75;31.41;24.75;24.75;24.75;24.75;47.81;47.81;47.81;15.21;46.0;30.05;15.68;30.79
43.8;309.58;91.11;429.16;354.51;43.8;168.35;41.93;85.86;479.41;110.04;57.5;41.93;135.48;59.09;18.21;50.11;68.11;68.11;68.11;97.21;53.14;18.71;100.82;18.71;18.71;62.24;41.35;44.07;113.58;52.77;52.77;22.83;56.99;26.44;108.06;64.1;24.57;78.58;24.57;5.95;5.95;5.95;5.95;5.95;18.31;18.31;18.31;33.56;59.46;25.9;21.5;21.5;32.83;32.83;32.83;15.58;92.06;29.93;83.37;29.54;22.88;22.88;22.88;22.88;32.43;32.43;32.43;18.21;44.63;28.93;14.55;26.41
41.55;298.08;90.61;453.04;349.63;41.55;165.35;49.18;94.74;524.53;108.16;65.5;49.18;127.23;62.34;17.46;53.98;58.99;58.99;58.99;85.33;46.26;26.59;117.07;26.59;26.59;56.37;33.97;39.07;116.08;73.27;73.27;34.46;49.99;24.56;107.81;68.48;33.19;89.71;33.19;7.83;7.83;7.83;7.83;7.83;16.43;16.43;16.43;37.18;66.58;29.4;26.38;26.38;33.7;33.7;33.7;16.33;108.81;38.81;87.25;34.91;22.88;22.88;22.88;22.88;34.31;34.31;34.31;19.84;46.5;34.68;19.43;26.66
32.17;245.58;72.86;347.04;283.38;32.17;130.22;30.68;68.99;399.78;82.41;44.63;30.68;112.86;45.09;13.71;40.48;51.74;51.74;51.74;82.71;43.26;20.96;84.2;20.96;20.96;51.24;34.47;39.45;105.46;45.52;45.52;18.83;42.37;18.81;83.31;55.98;23.82;72.46;23.82;5.58;5.58;5.58;5.58;5.58;13.81;13.81;13.81;24.06;44.21;20.15;20.38;20.38;27.45;27.45;27.45;13.95;78.68;26.68;72.87;25.91;24.13;24.13;24.13;24.13;31.68;31.68;31.68;13.09;37.0;27.68;14.68;23.91
29.55;197.08;63.73;288.54;231.76;29.55;100.85;28.8;58.61;336.78;70.79;38.75;28.8;86.73;38.46;10.33;34.23;41.99;41.99;41.99;51.71;26.14;16.84;72.57;16.84;16.84;42.12;26.97;25.57;80.08;44.64;44.64;20.08;33.12;15.94;68.06;47.98;18.32;53.58;18.32;4.08;4.08;4.08;4.08;4.08;11.56;11.56;11.56;23.06;42.08;19.02;17.75;17.75;19.7;19.7;19.7;9.95;68.06;24.56;55.62;20.04;20.38;20.38;20.38;20.38;26.81;26.81;26.81;12.21;31.25;22.18;10.93;19.04
